"Date","cust_known","StockCode","UnitPrice","UnitsSold"
2010-12-01,FALSE,"21928",4.21,1
2010-12-01,FALSE,"21929",4.21,1
2010-12-01,FALSE,"21931",4.21,1
2010-12-01,FALSE,"22386",4.21,3
2010-12-01,FALSE,"22411",4.21,2
2010-12-01,FALSE,"22663",4.21,3
2010-12-01,FALSE,"85099B",4.21,2
2010-12-01,FALSE,"85099F",4.21,1
2010-12-01,TRUE,"20711",1.95,20
2010-12-01,TRUE,"20712",1.95,30
2010-12-01,TRUE,"20713",1.95,41
2010-12-01,TRUE,"21033",2.95,14
2010-12-01,TRUE,"21928",1.95,20
2010-12-01,TRUE,"21929",1.95,30
2010-12-01,TRUE,"21930",1.95,21
2010-12-01,TRUE,"21931",1.95,53
2010-12-01,TRUE,"22386",1.95,42
2010-12-01,TRUE,"22411",1.95,78
2010-12-01,TRUE,"22663",1.95,15
2010-12-01,TRUE,"85099B",1.65,300
2010-12-01,TRUE,"85099B",1.95,54
2010-12-01,TRUE,"85099C",1.65,100
2010-12-01,TRUE,"85099C",1.95,41
2010-12-01,TRUE,"85099F",1.95,31
2010-12-02,FALSE,"22411",1.95,1
2010-12-02,TRUE,"21033",2.95,10
2010-12-02,TRUE,"21928",1.65,100
2010-12-02,TRUE,"21929",1.65,100
2010-12-02,TRUE,"21930",1.95,4
2010-12-02,TRUE,"21931",1.95,14
2010-12-02,TRUE,"22385",1.95,4
2010-12-02,TRUE,"22386",1.95,23
2010-12-02,TRUE,"22411",1.65,60
2010-12-02,TRUE,"22663",1.95,2
2010-12-02,TRUE,"85099B",1.95,48
2010-12-02,TRUE,"85099F",1.95,20
2010-12-03,FALSE,"20711",4.21,19
2010-12-03,FALSE,"20712",4.21,1
2010-12-03,FALSE,"20712",5.06,10
2010-12-03,FALSE,"21928",4.21,2
2010-12-03,FALSE,"21928",5.06,1
2010-12-03,FALSE,"21929",4.21,1
2010-12-03,FALSE,"21929",5.06,8
2010-12-03,FALSE,"21930",4.21,8
2010-12-03,FALSE,"21931",4.21,2
2010-12-03,FALSE,"21931",5.06,20
2010-12-03,FALSE,"22386",5.06,3
2010-12-03,FALSE,"22411",4.21,20
2010-12-03,FALSE,"85099B",4.21,6
2010-12-03,FALSE,"85099C",4.21,31
2010-12-03,FALSE,"85099f",5.06,4
2010-12-03,FALSE,"85099F",4.21,2
2010-12-03,TRUE,"20712",1.95,20
2010-12-03,TRUE,"20713",1.95,20
2010-12-03,TRUE,"21928",1.65,100
2010-12-03,TRUE,"21928",1.95,2
2010-12-03,TRUE,"21930",1.65,100
2010-12-03,TRUE,"21930",1.95,4
2010-12-03,TRUE,"21931",1.95,21
2010-12-03,TRUE,"22386",1.95,20
2010-12-03,TRUE,"22411",1.95,8
2010-12-03,TRUE,"85099B",1.95,43
2010-12-03,TRUE,"85099C",1.95,22
2010-12-05,TRUE,"20711",1.95,1
2010-12-05,TRUE,"20712",1.95,16
2010-12-05,TRUE,"20713",1.95,8
