index,tensor
0,"[4.0, 2.75, 3010.0, 7215.0, 2.0, 0.0, 0.0, 3.0, 9.0, 3010.0, 0.0, 47.6952018738, -122.1780014038, 3010.0, 7215.0, 0.0, 0.0, 0.0]"
1,"[4.0, 1.75, 1400.0, 7920.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1400.0, 0.0, 47.465801239, -122.1839981079, 1910.0, 7700.0, 52.0, 0.0, 0.0]"
2,"[4.0, 2.5, 3130.0, 13202.0, 2.0, 0.0, 0.0, 3.0, 10.0, 3130.0, 0.0, 47.5877990723, -121.9759979248, 2840.0, 10470.0, 19.0, 0.0, 0.0]"
3,"[3.0, 2.25, 1620.0, 997.0, 2.5, 0.0, 0.0, 3.0, 8.0, 1540.0, 80.0, 47.5400009155, -122.0260009766, 1620.0, 1068.0, 4.0, 0.0, 0.0]"
4,"[3.0, 2.0, 1310.0, 9855.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1310.0, 0.0, 47.729598999, -122.2409973145, 1310.0, 8370.0, 52.0, 0.0, 0.0]"
5,"[4.0, 2.5, 3450.0, 35100.0, 2.0, 0.0, 0.0, 3.0, 10.0, 3450.0, 0.0, 47.7302017212, -122.1060028076, 3110.0, 35894.0, 27.0, 0.0, 0.0]"
6,"[3.0, 1.5, 1770.0, 30689.0, 1.0, 0.0, 4.0, 3.0, 9.0, 1770.0, 0.0, 47.7648010254, -122.3700027466, 2650.0, 30280.0, 62.0, 0.0, 0.0]"
7,"[4.0, 2.5, 4060.0, 8547.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2790.0, 1270.0, 47.3694000244, -122.0559997559, 2810.0, 8313.0, 7.0, 0.0, 0.0]"
8,"[4.0, 2.5, 1850.0, 8310.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1200.0, 650.0, 47.7717018127, -122.2900009155, 1840.0, 10080.0, 53.0, 0.0, 0.0]"
9,"[1.0, 2.0, 3000.0, 204732.0, 2.5, 0.0, 2.0, 3.0, 8.0, 3000.0, 0.0, 47.6330986023, -121.9449996948, 2330.0, 213008.0, 35.0, 0.0, 0.0]"
10,"[2.0, 1.0, 900.0, 5000.0, 1.0, 0.0, 0.0, 3.0, 7.0, 900.0, 0.0, 47.6883010864, -122.3949966431, 1280.0, 5000.0, 70.0, 0.0, 0.0]"
11,"[3.0, 1.75, 1930.0, 10183.0, 1.0, 0.0, 0.0, 4.0, 8.0, 1480.0, 450.0, 47.5624008179, -122.1350021362, 2320.0, 10000.0, 39.0, 0.0, 0.0]"
12,"[3.0, 2.5, 1650.0, 2201.0, 3.0, 0.0, 0.0, 3.0, 8.0, 1650.0, 0.0, 47.7108001709, -122.3330001831, 1650.0, 1965.0, 8.0, 0.0, 0.0]"
13,"[3.0, 1.75, 2190.0, 6450.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1480.0, 710.0, 47.5284004211, -122.3909988403, 2190.0, 6450.0, 58.0, 0.0, 0.0]"
14,"[4.0, 2.0, 2580.0, 4500.0, 2.0, 0.0, 0.0, 4.0, 9.0, 1850.0, 730.0, 47.6245002747, -122.3160018921, 2590.0, 4100.0, 110.0, 0.0, 0.0]"
15,"[3.0, 1.75, 1360.0, 18123.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1360.0, 0.0, 47.4715995789, -121.7559967041, 1570.0, 16817.0, 31.0, 0.0, 0.0]"
16,"[6.0, 4.5, 3300.0, 7480.0, 2.0, 0.0, 0.0, 3.0, 8.0, 3300.0, 0.0, 47.679599762, -122.1039962769, 2470.0, 7561.0, 34.0, 0.0, 0.0]"
17,"[3.0, 2.5, 2830.0, 3750.0, 3.0, 0.0, 0.0, 3.0, 10.0, 2830.0, 0.0, 47.679901123, -122.3850021362, 1780.0, 5000.0, 0.0, 0.0, 0.0]"
18,"[3.0, 1.75, 1350.0, 2325.0, 3.0, 0.0, 0.0, 3.0, 7.0, 1350.0, 0.0, 47.6964988708, -122.3499984741, 1520.0, 1652.0, 16.0, 0.0, 0.0]"
19,"[2.0, 1.0, 770.0, 5040.0, 1.0, 0.0, 0.0, 3.0, 5.0, 770.0, 0.0, 47.5964012146, -122.2990036011, 1330.0, 2580.0, 85.0, 0.0, 0.0]"
20,"[4.0, 2.5, 3130.0, 13202.0, 2.0, 0.0, 0.0, 3.0, 10.0, 3130.0, 0.0, 47.5877990723, -121.9759979248, 2840.0, 10470.0, 19.0, 0.0, 0.0]"
21,"[3.0, 2.5, 2230.0, 3939.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2230.0, 0.0, 47.7299995422, -122.3349990845, 2230.0, 4200.0, 1.0, 0.0, 0.0]"
22,"[2.0, 1.5, 1090.0, 1183.0, 3.0, 0.0, 0.0, 3.0, 8.0, 1090.0, 0.0, 47.6973991394, -122.3489990234, 1110.0, 1384.0, 6.0, 0.0, 0.0]"
23,"[3.0, 1.0, 1160.0, 3700.0, 1.5, 0.0, 0.0, 3.0, 7.0, 1160.0, 0.0, 47.5651016235, -122.3590011597, 1340.0, 3750.0, 105.0, 0.0, 0.0]"
24,"[4.0, 2.5, 3670.0, 54450.0, 2.0, 0.0, 0.0, 3.0, 10.0, 3670.0, 0.0, 47.6211013794, -122.0159988403, 2900.0, 49658.0, 15.0, 0.0, 0.0]"
25,"[2.0, 2.0, 1300.0, 4659.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1300.0, 0.0, 47.7131996155, -122.0329971313, 1640.0, 4780.0, 9.0, 0.0, 0.0]"
26,"[3.0, 1.75, 1330.0, 13102.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1330.0, 0.0, 47.317199707, -122.3219985962, 1270.0, 11475.0, 46.0, 0.0, 0.0]"
27,"[2.0, 1.0, 700.0, 8100.0, 1.0, 0.0, 0.0, 3.0, 6.0, 700.0, 0.0, 47.7491989136, -122.3109970093, 1230.0, 8100.0, 65.0, 0.0, 0.0]"
28,"[3.0, 1.75, 1240.0, 10956.0, 1.0, 0.0, 0.0, 3.0, 6.0, 1240.0, 0.0, 47.3704986572, -122.1500015259, 1240.0, 8137.0, 27.0, 0.0, 0.0]"
29,"[4.0, 2.0, 2580.0, 4500.0, 2.0, 0.0, 0.0, 4.0, 9.0, 1850.0, 730.0, 47.6245002747, -122.3160018921, 2590.0, 4100.0, 110.0, 0.0, 0.0]"
30,"[4.0, 2.0, 2240.0, 7725.0, 1.0, 0.0, 0.0, 5.0, 7.0, 1120.0, 1120.0, 47.5331001282, -122.3649978638, 1340.0, 6300.0, 58.0, 0.0, 0.0]"
31,"[3.0, 2.0, 2060.0, 2900.0, 1.5, 0.0, 0.0, 5.0, 8.0, 1330.0, 730.0, 47.5896987915, -122.2919998169, 1910.0, 3900.0, 84.0, 0.0, 0.0]"
32,"[2.0, 1.0, 1070.0, 5000.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1070.0, 0.0, 47.6665992737, -122.3310012817, 1710.0, 5000.0, 91.0, 0.0, 0.0]"
33,"[3.0, 2.25, 998.0, 904.0, 2.0, 0.0, 0.0, 3.0, 7.0, 798.0, 200.0, 47.698299408, -122.3669967651, 998.0, 1110.0, 7.0, 0.0, 0.0]"
34,"[2.0, 2.25, 1620.0, 1841.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1540.0, 80.0, 47.5483016968, -122.0039978027, 1530.0, 1831.0, 10.0, 0.0, 0.0]"
35,"[3.0, 1.0, 1000.0, 16376.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1000.0, 0.0, 47.4824981689, -122.108001709, 1420.0, 16192.0, 55.0, 0.0, 0.0]"
36,"[3.0, 1.75, 1650.0, 1180.0, 3.0, 0.0, 0.0, 3.0, 8.0, 1650.0, 0.0, 47.6636009216, -122.3190002441, 1720.0, 1960.0, 0.0, 0.0, 0.0]"
37,"[3.0, 2.5, 1600.0, 2231.0, 2.0, 0.0, 0.0, 3.0, 7.0, 1600.0, 0.0, 47.331401825, -122.2900009155, 1600.0, 2962.0, 11.0, 0.0, 0.0]"
38,"[5.0, 2.75, 2130.0, 6222.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1300.0, 830.0, 47.5271987915, -122.2760009766, 2130.0, 6222.0, 23.0, 0.0, 0.0]"
39,"[4.0, 2.5, 2440.0, 5001.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2440.0, 0.0, 47.510799408, -122.1930007935, 2260.0, 5001.0, 9.0, 0.0, 0.0]"
40,"[3.0, 2.5, 1790.0, 3962.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1790.0, 0.0, 47.6893997192, -122.3909988403, 1340.0, 3960.0, 22.0, 0.0, 0.0]"
41,"[3.0, 1.75, 2150.0, 13789.0, 1.0, 0.0, 0.0, 4.0, 8.0, 1610.0, 540.0, 47.7591018677, -122.2949981689, 2150.0, 15480.0, 48.0, 0.0, 0.0]"
42,"[4.0, 2.5, 3140.0, 12792.0, 2.0, 0.0, 0.0, 4.0, 9.0, 3140.0, 0.0, 47.3862991333, -122.15599823, 2510.0, 12792.0, 37.0, 0.0, 0.0]"
43,"[3.0, 1.75, 1050.0, 9871.0, 1.0, 0.0, 0.0, 5.0, 7.0, 1050.0, 0.0, 47.3815994263, -122.0869979858, 1300.0, 10794.0, 46.0, 0.0, 0.0]"
44,"[4.0, 2.5, 2350.0, 6958.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2350.0, 0.0, 47.3320999146, -122.1719970703, 2480.0, 6395.0, 16.0, 0.0, 0.0]"
45,"[3.0, 2.0, 940.0, 5000.0, 1.0, 0.0, 0.0, 3.0, 7.0, 880.0, 60.0, 47.6771011353, -122.3980026245, 1420.0, 5000.0, 74.0, 0.0, 0.0]"
46,"[2.0, 1.0, 962.0, 1992.0, 2.0, 0.0, 0.0, 3.0, 7.0, 962.0, 0.0, 47.6911010742, -122.31300354, 1130.0, 1992.0, 3.0, 0.0, 0.0]"
47,"[3.0, 1.5, 1740.0, 9038.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1740.0, 0.0, 47.5896987915, -122.1360015869, 1390.0, 9770.0, 59.0, 0.0, 0.0]"
48,"[3.0, 2.5, 2690.0, 7000.0, 2.0, 0.0, 0.0, 5.0, 7.0, 1840.0, 850.0, 47.6783981323, -122.2770004272, 1800.0, 6435.0, 71.0, 0.0, 0.0]"
49,"[3.0, 2.25, 1780.0, 9969.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1450.0, 330.0, 47.7285995483, -122.1679992676, 1950.0, 7974.0, 29.0, 0.0, 0.0]"
50,"[4.0, 1.75, 2670.0, 189486.0, 2.0, 0.0, 4.0, 3.0, 8.0, 2670.0, 0.0, 47.2584991455, -122.0609970093, 2190.0, 218610.0, 42.0, 0.0, 0.0]"
51,"[3.0, 1.75, 1480.0, 8165.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1480.0, 0.0, 47.3624000549, -122.0790023804, 1450.0, 7939.0, 30.0, 0.0, 0.0]"
52,"[4.0, 3.0, 3120.0, 157875.0, 2.0, 0.0, 0.0, 4.0, 8.0, 3120.0, 0.0, 47.4440002441, -122.18699646, 1580.0, 7050.0, 38.0, 0.0, 0.0]"
